nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 19:41:51.198[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m905[0m - [1mLoading the model from ../hard_const/results/best_model.pth[0m
Step: 2200, Temperature: 346.02 K, Total Energy: -30031.590303 eV
Step: 2220, Temperature: 297.80 K, Total Energy: -30032.859254 eV
Step: 2240, Temperature: 290.72 K, Total Energy: -30032.732252 eV
Step: 2260, Temperature: 289.40 K, Total Energy: -30032.847084 eV
Step: 2280, Temperature: 291.40 K, Total Energy: -30032.713423 eV
Step: 2300, Temperature: 286.00 K, Total Energy: -30032.687193 eV
Step: 2320, Temperature: 314.26 K, Total Energy: -30032.300415 eV
Step: 2340, Temperature: 306.83 K, Total Energy: -30032.484729 eV
Step: 2360, Temperature: 317.16 K, Total Energy: -30032.642547 eV
Step: 2380, Temperature: 297.36 K, Total Energy: -30032.795912 eV
Step: 2400, Temperature: 287.47 K, Total Energy: -30032.935952 eV
Step: 2420, Temperature: 305.20 K, Total Energy: -30033.107218 eV
Step: 2440, Temperature: 310.33 K, Total Energy: -30033.476080 eV
Step: 2460, Temperature: 289.73 K, Total Energy: -30033.247120 eV
Step: 2480, Temperature: 301.18 K, Total Energy: -30032.535009 eV
Step: 2500, Temperature: 290.34 K, Total Energy: -30032.151765 eV
Step: 2520, Temperature: 324.02 K, Total Energy: -30031.809989 eV
Step: 2540, Temperature: 309.89 K, Total Energy: -30032.309239 eV
Step: 2560, Temperature: 296.50 K, Total Energy: -30033.124018 eV
Step: 2580, Temperature: 326.97 K, Total Energy: -30032.279909 eV
Step: 2600, Temperature: 291.57 K, Total Energy: -30032.576239 eV
Step: 2620, Temperature: 300.99 K, Total Energy: -30032.647320 eV
Step: 2640, Temperature: 287.92 K, Total Energy: -30032.817337 eV
Step: 2660, Temperature: 278.19 K, Total Energy: -30033.488527 eV
Step: 2680, Temperature: 287.60 K, Total Energy: -30033.784299 eV
Step: 2700, Temperature: 276.36 K, Total Energy: -30034.373641 eV
Step: 2720, Temperature: 286.30 K, Total Energy: -30034.365410 eV
Step: 2740, Temperature: 273.21 K, Total Energy: -30034.596424 eV
Step: 2760, Temperature: 286.38 K, Total Energy: -30034.388722 eV
Step: 2780, Temperature: 290.83 K, Total Energy: -30033.721650 eV
Step: 2800, Temperature: 290.98 K, Total Energy: -30033.852817 eV
Step: 2820, Temperature: 259.95 K, Total Energy: -30033.911953 eV
Step: 2840, Temperature: 291.66 K, Total Energy: -30033.544860 eV
Step: 2860, Temperature: 287.99 K, Total Energy: -30033.518648 eV
Step: 2880, Temperature: 313.15 K, Total Energy: -30033.384455 eV
Step: 2900, Temperature: 299.78 K, Total Energy: -30033.099243 eV
Step: 2920, Temperature: 267.54 K, Total Energy: -30033.131755 eV
Step: 2940, Temperature: 281.38 K, Total Energy: -30032.862414 eV
Step: 2960, Temperature: 306.15 K, Total Energy: -30032.562060 eV
Step: 2980, Temperature: 291.39 K, Total Energy: -30032.705858 eV
Step: 3000, Temperature: 328.18 K, Total Energy: -30032.179469 eV
Step: 3020, Temperature: 302.41 K, Total Energy: -30032.633588 eV
Step: 3040, Temperature: 280.09 K, Total Energy: -30032.658028 eV
Step: 3060, Temperature: 275.90 K, Total Energy: -30032.892967 eV
Step: 3080, Temperature: 278.66 K, Total Energy: -30032.551081 eV
Step: 3100, Temperature: 290.57 K, Total Energy: -30032.429308 eV
Step: 3120, Temperature: 283.29 K, Total Energy: -30032.295382 eV
