nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 20:49:32.229[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m908[0m - [1mLoading the model from ../../baseline/results/best_model.pth[0m
Step: 2900, Temperature: 292.33 K, Total Energy: -30033.520347 eV
Step: 2920, Temperature: 307.43 K, Total Energy: -30033.579233 eV
Step: 2940, Temperature: 289.25 K, Total Energy: -30033.873402 eV
Step: 2960, Temperature: 295.40 K, Total Energy: -30033.390128 eV
Step: 2980, Temperature: 308.73 K, Total Energy: -30033.087356 eV
Step: 3000, Temperature: 315.06 K, Total Energy: -30033.050921 eV
Step: 3020, Temperature: 277.74 K, Total Energy: -30033.042360 eV
Step: 3040, Temperature: 293.96 K, Total Energy: -30032.561360 eV
Step: 3060, Temperature: 305.13 K, Total Energy: -30032.519968 eV
Step: 3080, Temperature: 309.80 K, Total Energy: -30031.937284 eV
Step: 3100, Temperature: 303.17 K, Total Energy: -30032.586841 eV
Step: 3120, Temperature: 292.71 K, Total Energy: -30032.274495 eV
Step: 3140, Temperature: 324.94 K, Total Energy: -30032.880055 eV
Step: 3160, Temperature: 273.66 K, Total Energy: -30033.123752 eV
Step: 3180, Temperature: 300.56 K, Total Energy: -30032.773664 eV
Step: 3200, Temperature: 319.78 K, Total Energy: -30032.470920 eV
Step: 3220, Temperature: 319.41 K, Total Energy: -30032.597461 eV
Step: 3240, Temperature: 298.24 K, Total Energy: -30032.322485 eV
Step: 3260, Temperature: 306.30 K, Total Energy: -30032.738364 eV
Step: 3280, Temperature: 300.71 K, Total Energy: -30032.855857 eV
Step: 3300, Temperature: 286.96 K, Total Energy: -30033.159479 eV
Step: 3320, Temperature: 307.69 K, Total Energy: -30032.613550 eV
Step: 3340, Temperature: 335.41 K, Total Energy: -30032.165000 eV
Step: 3360, Temperature: 331.34 K, Total Energy: -30032.661912 eV
Step: 3380, Temperature: 309.40 K, Total Energy: -30032.834219 eV
Step: 3400, Temperature: 308.84 K, Total Energy: -30032.731014 eV
Step: 3420, Temperature: 309.83 K, Total Energy: -30032.917122 eV
Step: 3440, Temperature: 299.35 K, Total Energy: -30033.374540 eV
Step: 3460, Temperature: 292.75 K, Total Energy: -30033.786970 eV
Step: 3480, Temperature: 286.03 K, Total Energy: -30033.952405 eV
Step: 3500, Temperature: 326.81 K, Total Energy: -30033.856322 eV
Step: 3520, Temperature: 276.48 K, Total Energy: -30034.783204 eV
Step: 3540, Temperature: 297.05 K, Total Energy: -30034.711865 eV
Step: 3560, Temperature: 297.84 K, Total Energy: -30033.863761 eV
Step: 3580, Temperature: 306.78 K, Total Energy: -30033.480398 eV
Step: 3600, Temperature: 299.20 K, Total Energy: -30033.870586 eV
Step: 3620, Temperature: 281.32 K, Total Energy: -30033.561559 eV
Step: 3640, Temperature: 306.44 K, Total Energy: -30033.358054 eV
Step: 3660, Temperature: 259.10 K, Total Energy: -30033.729095 eV
Step: 3680, Temperature: 273.65 K, Total Energy: -30033.532110 eV
Step: 3700, Temperature: 261.09 K, Total Energy: -30033.975671 eV
Step: 3720, Temperature: 268.61 K, Total Energy: -30034.067346 eV
Step: 3740, Temperature: 278.27 K, Total Energy: -30033.669676 eV
Step: 3760, Temperature: 314.58 K, Total Energy: -30033.225079 eV
Step: 3780, Temperature: 343.12 K, Total Energy: -30032.261455 eV
Step: 3800, Temperature: 325.40 K, Total Energy: -30032.227761 eV
Step: 3820, Temperature: 316.39 K, Total Energy: -30032.964546 eV
Step: 3840, Temperature: 309.75 K, Total Energy: -30033.227584 eV
Step: 3860, Temperature: 313.83 K, Total Energy: -30032.599513 eV
Step: 3880, Temperature: 312.02 K, Total Energy: -30032.692000 eV
Step: 3900, Temperature: 310.29 K, Total Energy: -30032.563572 eV
Step: 3920, Temperature: 343.98 K, Total Energy: -30032.489787 eV
Step: 3940, Temperature: 337.10 K, Total Energy: -30032.403535 eV
Step: 3960, Temperature: 327.32 K, Total Energy: -30032.741814 eV
Step: 3980, Temperature: 312.47 K, Total Energy: -30033.003005 eV
Step: 4000, Temperature: 281.78 K, Total Energy: -30032.774400 eV
Step: 4020, Temperature: 318.10 K, Total Energy: -30033.046507 eV
Step: 4040, Temperature: 313.77 K, Total Energy: -30033.042407 eV
Step: 4060, Temperature: 317.13 K, Total Energy: -30032.916761 eV
Step: 4080, Temperature: 298.52 K, Total Energy: -30033.608409 eV
Step: 4100, Temperature: 297.05 K, Total Energy: -30033.192378 eV
Step: 4120, Temperature: 283.05 K, Total Energy: -30033.547044 eV
Step: 4140, Temperature: 296.46 K, Total Energy: -30033.970872 eV
Step: 4160, Temperature: 288.97 K, Total Energy: -30033.876585 eV
Step: 4180, Temperature: 293.98 K, Total Energy: -30034.402495 eV
Step: 4200, Temperature: 286.78 K, Total Energy: -30034.847671 eV
Step: 4220, Temperature: 262.49 K, Total Energy: -30034.497093 eV
Step: 4240, Temperature: 271.80 K, Total Energy: -30034.067002 eV
Step: 4260, Temperature: 288.60 K, Total Energy: -30034.040159 eV
Step: 4280, Temperature: 302.82 K, Total Energy: -30033.304749 eV
Step: 4300, Temperature: 305.27 K, Total Energy: -30033.170723 eV
Step: 4320, Temperature: 304.39 K, Total Energy: -30033.308205 eV
Step: 4340, Temperature: 313.60 K, Total Energy: -30033.361196 eV
Step: 4360, Temperature: 309.04 K, Total Energy: -30033.159753 eV
Step: 4380, Temperature: 321.55 K, Total Energy: -30033.313137 eV
Step: 4400, Temperature: 294.43 K, Total Energy: -30033.033772 eV
Step: 4420, Temperature: 299.92 K, Total Energy: -30033.270351 eV
Step: 4440, Temperature: 291.14 K, Total Energy: -30033.868551 eV
Step: 4460, Temperature: 282.29 K, Total Energy: -30033.214658 eV
Step: 4480, Temperature: 321.09 K, Total Energy: -30032.572691 eV
Step: 4500, Temperature: 323.06 K, Total Energy: -30032.239856 eV
Step: 4520, Temperature: 309.39 K, Total Energy: -30032.668360 eV
Step: 4540, Temperature: 304.80 K, Total Energy: -30033.270411 eV
Step: 4560, Temperature: 337.21 K, Total Energy: -30032.135060 eV
Step: 4580, Temperature: 325.89 K, Total Energy: -30032.410622 eV
Step: 4600, Temperature: 311.49 K, Total Energy: -30032.336250 eV
Step: 4620, Temperature: 338.43 K, Total Energy: -30032.928739 eV
Step: 4640, Temperature: 316.00 K, Total Energy: -30032.622863 eV
Step: 4660, Temperature: 310.60 K, Total Energy: -30032.682715 eV
Step: 4680, Temperature: 320.71 K, Total Energy: -30032.457306 eV
Step: 4700, Temperature: 322.61 K, Total Energy: -30032.426900 eV
Step: 4720, Temperature: 307.84 K, Total Energy: -30032.744638 eV
Step: 4740, Temperature: 298.01 K, Total Energy: -30033.007883 eV
Step: 4760, Temperature: 290.00 K, Total Energy: -30032.920796 eV
Step: 4780, Temperature: 289.18 K, Total Energy: -30033.251919 eV
Step: 4800, Temperature: 297.83 K, Total Energy: -30032.381775 eV
Step: 4820, Temperature: 317.16 K, Total Energy: -30032.972679 eV
Step: 4840, Temperature: 286.79 K, Total Energy: -30033.281037 eV
Step: 4860, Temperature: 311.26 K, Total Energy: -30033.027450 eV
Step: 4880, Temperature: 293.62 K, Total Energy: -30033.171487 eV
Step: 4900, Temperature: 294.10 K, Total Energy: -30033.555682 eV
Step: 4920, Temperature: 276.96 K, Total Energy: -30033.940949 eV
Step: 4940, Temperature: 291.99 K, Total Energy: -30033.747606 eV
Step: 4960, Temperature: 309.57 K, Total Energy: -30033.745805 eV
Step: 4980, Temperature: 324.54 K, Total Energy: -30033.169237 eV
Step: 5000, Temperature: 309.46 K, Total Energy: -30033.016239 eV
