nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 20:42:02.699[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m908[0m - [1mLoading the model from ../hard_const/results/best_model.pth[0m
Step: 4160, Temperature: 279.27 K, Total Energy: -30035.552575 eV
Step: 4180, Temperature: 292.83 K, Total Energy: -30035.570138 eV
Step: 4200, Temperature: 261.13 K, Total Energy: -30035.710983 eV
Step: 4220, Temperature: 269.53 K, Total Energy: -30035.870377 eV
Step: 4240, Temperature: 298.51 K, Total Energy: -30035.636049 eV
Step: 4260, Temperature: 322.15 K, Total Energy: -30035.827272 eV
Step: 4280, Temperature: 304.91 K, Total Energy: -30035.701244 eV
Step: 4300, Temperature: 317.26 K, Total Energy: -30035.382195 eV
Step: 4320, Temperature: 313.49 K, Total Energy: -30035.428434 eV
Step: 4340, Temperature: 320.05 K, Total Energy: -30035.489557 eV
Step: 4360, Temperature: 274.19 K, Total Energy: -30035.409253 eV
Step: 4380, Temperature: 299.29 K, Total Energy: -30035.438537 eV
Step: 4400, Temperature: 329.41 K, Total Energy: -30035.099371 eV
Step: 4420, Temperature: 312.66 K, Total Energy: -30035.492117 eV
Step: 4440, Temperature: 323.92 K, Total Energy: -30034.470136 eV
Step: 4460, Temperature: 341.18 K, Total Energy: -30034.101562 eV
Step: 4480, Temperature: 312.27 K, Total Energy: -30035.595697 eV
Step: 4500, Temperature: 311.74 K, Total Energy: -30035.986161 eV
Step: 4520, Temperature: 325.28 K, Total Energy: -30035.769939 eV
Step: 4540, Temperature: 292.02 K, Total Energy: -30036.223335 eV
Step: 4560, Temperature: 289.23 K, Total Energy: -30035.936267 eV
Step: 4580, Temperature: 303.82 K, Total Energy: -30036.008092 eV
Step: 4600, Temperature: 289.21 K, Total Energy: -30036.442578 eV
Step: 4620, Temperature: 300.47 K, Total Energy: -30036.256447 eV
Step: 4640, Temperature: 279.22 K, Total Energy: -30036.022603 eV
Step: 4660, Temperature: 303.52 K, Total Energy: -30035.972614 eV
Step: 4680, Temperature: 292.49 K, Total Energy: -30035.535770 eV
Step: 4700, Temperature: 264.62 K, Total Energy: -30035.824172 eV
Step: 4720, Temperature: 308.77 K, Total Energy: -30034.840391 eV
Step: 4740, Temperature: 290.78 K, Total Energy: -30034.926431 eV
Step: 4760, Temperature: 310.17 K, Total Energy: -30034.385070 eV
Step: 4780, Temperature: 317.09 K, Total Energy: -30034.501652 eV
Step: 4800, Temperature: 328.19 K, Total Energy: -30034.733687 eV
Step: 4820, Temperature: 293.02 K, Total Energy: -30035.022340 eV
Step: 4840, Temperature: 310.45 K, Total Energy: -30034.901531 eV
Step: 4860, Temperature: 304.22 K, Total Energy: -30035.204917 eV
Step: 4880, Temperature: 298.56 K, Total Energy: -30035.117215 eV
Step: 4900, Temperature: 298.56 K, Total Energy: -30035.023442 eV
Step: 4920, Temperature: 280.08 K, Total Energy: -30035.399482 eV
Step: 4940, Temperature: 298.67 K, Total Energy: -30035.296078 eV
Step: 4960, Temperature: 308.66 K, Total Energy: -30034.868439 eV
Step: 4980, Temperature: 289.51 K, Total Energy: -30035.520943 eV
Step: 5000, Temperature: 312.97 K, Total Energy: -30035.187502 eV
Step: 5020, Temperature: 311.76 K, Total Energy: -30034.653545 eV
Step: 5040, Temperature: 300.76 K, Total Energy: -30034.391729 eV
Step: 5060, Temperature: 279.13 K, Total Energy: -30034.601081 eV
Step: 5080, Temperature: 305.58 K, Total Energy: -30034.295642 eV
Step: 5100, Temperature: 316.43 K, Total Energy: -30033.942021 eV
Step: 5120, Temperature: 301.25 K, Total Energy: -30034.066821 eV
Step: 5140, Temperature: 270.90 K, Total Energy: -30034.892382 eV
Step: 5160, Temperature: 304.24 K, Total Energy: -30034.893933 eV
Step: 5180, Temperature: 305.56 K, Total Energy: -30035.124275 eV
Step: 5200, Temperature: 312.65 K, Total Energy: -30034.781499 eV
Step: 5220, Temperature: 327.25 K, Total Energy: -30034.927154 eV
Step: 5240, Temperature: 295.31 K, Total Energy: -30035.144430 eV
Step: 5260, Temperature: 287.32 K, Total Energy: -30034.898502 eV
Step: 5280, Temperature: 304.72 K, Total Energy: -30034.467738 eV
Step: 5300, Temperature: 309.51 K, Total Energy: -30034.466056 eV
Step: 5320, Temperature: 295.22 K, Total Energy: -30035.070401 eV
Step: 5340, Temperature: 291.66 K, Total Energy: -30035.170110 eV
Step: 5360, Temperature: 305.23 K, Total Energy: -30035.232219 eV
Step: 5380, Temperature: 312.86 K, Total Energy: -30035.063412 eV
Step: 5400, Temperature: 285.99 K, Total Energy: -30035.119493 eV
Step: 5420, Temperature: 321.76 K, Total Energy: -30035.096858 eV
